Folder,Dataset,Study,PMID,Cell types or tissues,Conditions,N Patients,Samples,Ancestry,Study_type,Downloaded as Part of eQTL catalog? (data processed using same pipeline),Retrieved,Comment,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Alasoo_2018,Alasoo_2018,,macrophages,"IFNg, Salmonella, IFNg + Salmonella",84,336,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,BLUEPRINT,BLUEPRINT,,"monocytes, neutrophils, CD4+ T cells",,197,554,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,BrainSeq,BrainSeq,,brain (DLPFC3),,484,484,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,CEDAR,Momozawa_2018,29930244,"CD4+ and CD8+ T cells, monocytes, neutrophils, platelet, B cells, ileum, rectum, transverse colon",,322,2388,,Microarray,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Fairfax_2012,Fairfax_2012,,B cells,,282,282,,Microarray,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Fairfax_2014,Fairfax_2014,,monocytes,"IFN24, LPS2, LPS24",424,1372,,Microarray,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,FUSION,FUSION,,"adipose, muscle",,302,559,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,GENCORD,GENCORD,,"LCLs1, fibroblasts, T cells",,195,560,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,GEUVADIS,GEUVADIS,,LCLs1,,445,445,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,GTEx,GTEx v8,,49 tissues,,838,15178,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Gilchrist_2021,Gilchrist_2021,,NK cells,,247,247,,Microarray,Y,N,,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,HipSci,HipSci,,iPSCs2,,322,322,,RNA-seq studies,Y,Y,,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Kasela_2017,Kasela_2017,,CD4+ and CD8+ T cells,,297,553,,Microarray,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Lepik_2017,Lepik_2017,,blood,,491,491,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Naranbhai_2015,Naranbhai_2015,,neutrophils,,93,93,,Microarray,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Nedelec_2016,Nedelec_2016,,macrophages,"Listeria, Salmonella",168,493,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Quach_2016,Quach_2016,,monocytes,"LPS, Pam3CSK4, R848, IAV",200,969,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,ROSMAP,ROSMAP,,brain (DLPFC3),,576,576,,RNA-seq studies,Y,N,,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Schmiedel_2018,Schmiedel_2018,,15 immune cell types,αCD3+αCD28 (4h),91,1331,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Schwartzentruber_2018,Schwartzentruber_2018,,sensory neurons,,98,98,,RNA-seq studies,Y,N,,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,TwinsUK,TwinsUK,,"adipose, LCLs1, skin, blood",,433,1364,,RNA-seq studies,Y,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,van_de_Bunt_2015,van_de_Bunt_2015,,pancreatic islets,,117,117,,RNA-seq studies,Y,Y,,,,,,,,,,,,,,,,,,,
eQTL_catalog_V6,Bossini-Castillo_2022,Bossini-Castillo_2022,35591976,regulatory T cells,,119,119,,RNA-seq studies,Y,N,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
macromap,Macromap,Macromap,,iPSC derived macrophages,IFNB_6 IFNB_24 P3C_6 P3C_24 CIL_6 CIL_24 IFNG_6 IFNG_24 PIC_6 PIC_24 IL4_6 IL4_24 Prec_D0 Prec_D2 Ctrl_6 Ctrl_24 LIL10_6 LIL10_24 R848_6 R848_24 MBP_6 MBP_24 sLPS_6 sLPS_24,200,,,RNA-seq studies,N,Y,Open access once paper is published / Sanger internal access,,,,,,,,,,,,,,,,,,
eQTLGen,eQTLGen,eQTLGen,,blood,,31684,,,,N,Y,Currently used for IIBDGC coloc,,,,,,,,,,,,,,,,,,
QTL_managed_access/yazar_2022,Yazar_2022,Yazar et al Science 2022,35389779,PMBCs single cell,,982,,,sc RNA-seq,N,Y - Data shared by Joseph Powell,,,,,,,,,,,,,,,,,,,
QTL_managed_access/hu_2021,Hu_2021,Hu_2021,33602935,intestinal mucosa,,171,,,RNA-seq studies,N,Y - (agreed in principle - collab with Rinse),managed access ,,,,,,,,,,,,,,,,,,
NA,Nathan_2022,Nathan 2022,35545678,"500,000 unstimulated memory T cells from ",,259,,AMR,sc RNA-seq,N,Y - Data shared by Aparna Nathan,,,,,,,,,,,,,,,,,,,
NA,Kachuri_2023,,,whole blood,,2733,,"AA, AMR",RNA-seq studies,N,Y,(FM),,,,,,,,,,,,,,,,,,